2021-12-20 16:10:07:574 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils(AnnotationConfigContextLoaderUtils.java 83) -Could not detect default configuration classes for test class [com.zookao.admin.RocketmqTest]: RocketmqTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-20 16:10:07:831 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(SpringBootTestContextBootstrapper.java 238) -Found @SpringBootConfiguration com.zookao.admin.AdminApplication for test class com.zookao.admin.RocketmqTest
2021-12-20 16:10:08:024 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 245) -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-20 16:10:08:052 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 174) -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@658c5a19, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@421e361, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@59d4cd39, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@389c4eb1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3fc79729, org.springframework.test.context.support.DirtiesContextTestExecutionListener@34f6515b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b34fff9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1187c9e8, org.springframework.test.context.event.EventPublishingTestExecutionListener@127a7a2e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14008db3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78a773fd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@57c03d88, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@16aa8654, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6d7fc27, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@45ac5f9b]
2021-12-20 16:10:08:615 [main] INFO  com.zookao.admin.RocketmqTest(StartupInfoLogger.java 55) -Starting RocketmqTest using Java 1.8.0_291 on DESKTOP-EBVMAA1 with PID 5640 (started by czc in D:\javaCode\quick_start\web\admin)
2021-12-20 16:10:08:616 [main] INFO  com.zookao.admin.RocketmqTest(SpringApplication.java 663) -The following profiles are active: dev
2021-12-20 16:10:08:645 [background-preinit] INFO  org.hibernate.validator.internal.util.Version(Version.java 21) -HV000001: Hibernate Validator 6.2.0.Final
2021-12-20 16:10:10:105 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 262) -Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-20 16:10:10:109 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 132) -Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-20 16:10:10:140 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 201) -Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2021-12-20 16:10:11:028 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'shiroConfig' of type [com.zookao.admin.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$58728eca] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:10:12:324 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:10:12:466 [main] INFO  org.reflections.Reflections(Reflections.java 219) -Reflections took 72 ms to scan 1 urls, producing 3 keys and 9 values
2021-12-20 16:10:12:579 [main] INFO  com.zookao.admin.shiro.ShiroConfig(ShiroConfig.java 148) -@Pass:["/admin/user/login"]
